"filename", "language", "Vue", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\czcfiles\code\vue-app\src\views\movie\publish\publish.vue", "Vue", 265, 0, 0, 0, 0, 0, 0, 0, 13, 278
"d:\czcfiles\code\vue-app\src\views\recomend\components\hot.vue", "Vue", 130, 0, 0, 0, 0, 0, 0, 0, 8, 138
"d:\czcfiles\code\vue-app\src\views\recomend\components\newMovie.vue", "Vue", 130, 0, 0, 0, 0, 0, 0, 0, 8, 138
"d:\czcfiles\code\vue-app\src\views\recomend\components\offline.vue", "Vue", 143, 0, 0, 0, 0, 0, 0, 0, 8, 151
"d:\czcfiles\code\vue-app\src\views\recomend\components\online.vue", "Vue", 143, 0, 0, 0, 0, 0, 0, 0, 8, 151
"d:\czcfiles\code\vue-app\src\views\recomend\components\ratingMore.vue", "Vue", 130, 0, 0, 0, 0, 0, 0, 0, 8, 138
"d:\czcfiles\code\vue-app\src\views\recomend\index.vue", "Vue", 78, 0, 0, 0, 0, 0, 0, 0, 4, 82
"d:\czcfiles\code\vue-app\src\views\register\index.vue", "Vue", 295, 0, 0, 0, 0, 0, 0, 4, 12, 311
"d:\czcfiles\code\vue-app\src\views\search\index.vue", "Vue", 141, 0, 0, 0, 0, 0, 0, 4, 4, 149
"d:\czcfiles\code\vue-app\src\views\user\components\movieCommentItem.vue", "Vue", 78, 0, 0, 0, 0, 0, 0, 1, 2, 81
"d:\czcfiles\code\vue-app\src\views\user\components\ratingGraph.vue", "Vue", 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"d:\czcfiles\code\vue-app\src\views\user\index.vue", "Vue", 36, 0, 0, 0, 0, 0, 0, 12, 8, 56
"d:\czcfiles\code\vue-app\src\views\user\setting.vue", "Vue", 329, 0, 0, 0, 0, 0, 0, 9, 10, 348
"d:\czcfiles\code\vue-app\src\views\user\userCenter.vue", "Vue", 401, 0, 0, 0, 0, 0, 0, 62, 5, 468
"d:\czcfiles\code\vue-app\vue.config.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"Total", "-", 7173, 707, 15, 13235, 13, 1854, 1, 397, 821, 24216
